,Tweets,len,ID,Date,Source,Likes,RTs
180,Thank you to all the teachers who took the time to shape my mind and challenge me along the way! #TeacherAppreciationDay #ThankATeacher,135,993874330311446528,2018-05-08 15:24:40,Twitter Web Client,2,0
181,"RT @ColinAllredTX: Throughout his career, @JasonKander has worked to expand access to the ballot and ensure every American has their voice…",139,993709356054204416,2018-05-08 04:29:07,Twitter for iPhone,0,35
182,RT @Alaaaaaandra: Rihanna and Jared Leto saved the #MetGala https://t.co/05Sfw0BH0G,83,993631487672176640,2018-05-07 23:19:42,Twitter for iPhone,0,1239
183,RT @TheRoot: #ChildishGambino's new video #ThisIsAmerica pretty much sums up the times we're living in https://t.co/3ouqQJUloZ https://t.co…,140,993499112468287488,2018-05-07 14:33:41,Twitter for iPhone,0,313
184,RT @letamericavote: We’re excited to be a part of @Lin_Manuel’s new @Prizeo contest! https://t.co/Lfu08ORI00 #MoreOfUS https://t.co/grUYx3i…,140,993498365773172736,2018-05-07 14:30:43,Twitter for iPhone,0,9
185,RT @JasonKander: We need to preserve and protect democracy every day. Want to support @LetAmericaVote and win a ticket to Hamilton in DC wi…,140,993498271489384448,2018-05-07 14:30:20,Twitter for iPhone,0,77
186,"RT @Sifill_LDF: And so, it is here. Brilliant, self-revealing, devastating. Ta-Nehisi Coates on the fall of Kanye. Take the time to read it…",140,993483954618617856,2018-05-07 13:33:27,Twitter for iPhone,0,4245
187,"RT @letamericavote: After 150 years, it's time to end Florida's lifetime ban on voting for people with felony convictions. #FLpol #SayYes2S…",140,992454918266073089,2018-05-04 17:24:26,Twitter for iPhone,0,44
188,This is a horrific epidemic.  During times of past epidemics Americans have come together to solve the problem-all… https://t.co/7zXygzz4LY,139,992440150293667840,2018-05-04 16:25:45,Twitter Web Client,7,3
189,Happy Birthday @JasonKander! Proud to be in the trenches with you fighting to protect our democracy for ALL America… https://t.co/IWbTuQXPpR,140,992422907249872901,2018-05-04 15:17:14,Twitter for iPhone,86,19
190,“The threat of the Trump administration is the poisoning of the hearts &amp; minds of Americans when they think about i… https://t.co/huoIKWMcJH,144,991832991881187328,2018-05-03 00:13:07,Twitter for iPhone,9,6
191,Continue to be inspired by this icon of journalism and advocate for Latino civic engagement @MariaESalinas… https://t.co/7mJcJXg04e,131,991831546494668801,2018-05-03 00:07:22,Twitter for iPhone,2,2
192,Proud of the work that @letamericavote did to elect @delegateguzman last year-continue to be inspired by her at the… https://t.co/eBocmrRoDS,140,991829055174569984,2018-05-02 23:57:28,Twitter for iPhone,21,4
193,Resistance has been part of the history of America and racism is not limited to the U.S. @JennicetG #latinotalks… https://t.co/JKm7S4wU93,137,991826187491205122,2018-05-02 23:46:04,Twitter for iPhone,9,2
194,Wow @AmaraLaNegraALN breaking it down &amp; being real about the racism faced by Afro-Latinos across all racial/ethnic… https://t.co/cg68u9W7eG,143,991824709129031681,2018-05-02 23:40:12,Twitter for iPhone,4,2
195,Strong panel of badass mujeres like @paoramos kicking off at #latinotalks #latinovictoryus https://t.co/alUFJLQByx,114,991819223520481280,2018-05-02 23:18:24,Twitter for iPhone,8,1
196,"RT @AZadvocacy: ""History may record that the longest war in the history of the United States was neither the Vietnam War nor the war in Afg…",140,991735822658531329,2018-05-02 17:47:00,Twitter for iPhone,0,4
197,NEW: Leaked Fresno meeting shows anti-immigrant hate group helping orchestrate attacks on CA's broadly-supported sa… https://t.co/Gf5sq064jV,140,991735496467533826,2018-05-02 17:45:42,Twitter for iPhone,0,0
198,RT @Matsamon: This is NFL player Desmond Marrow. He was wrongly accused of being in possession of a weapon (it was his cellphone). They kno…,140,990222613443211264,2018-04-28 13:34:03,Twitter for iPhone,0,82169
199,RT @letamericavote: Arizona was on track to expand early voting until Republicans backed out of this bipartisan bill. Text LET AZ VOTE to 4…,140,989963814828494848,2018-04-27 20:25:40,Twitter for iPhone,0,52
